Title 电影,Rank 排名,Rank-2022,Director 导演,豆瓣电影,豆瓣打分,豆瓣信息,Year 年份,Region 地区,Genre 类型,IMDb Movie,IMDb Score
"Strada, La",🎉072,🎉068,Federico Fellini,[大路 La strada](https://movie.douban.com/subject/1292719/),🌟8.9,费德里科·费里尼 / 安东尼·奎恩 / 朱丽叶塔·马西纳 / 理查德·贝斯哈特 / 剧情 / 意大利 / 1954,1954,Italy,Drama,[La strada](https://www.imdb.com/title/tt0047528/),🌟8
"Enfants du paradis, Les",🎉073,🎉061,Marcel Carné,[天堂的孩子 Les enfants du paradis](https://movie.douban.com/subject/1300375/),🌟8.5,马塞尔·卡尔内 / 阿莱蒂 / 让-路易斯·巴劳特 / 皮埃尔·布拉瑟 / 剧情 / 爱情 / 法国 / 1945,1945,France,Romance-Drama,[Children of Paradise](https://www.imdb.com/title/tt0037674/),🌟8.3
Do the Right Thing,🎉074,🎉139,Spike Lee,[为所应为 Do the Right Thing](https://movie.douban.com/subject/1293958/),🌟8.2,斯派克·李 / 丹尼·爱罗 / 奥西·戴维斯 / 露比·迪 / 剧情 / 喜剧 / 美国 / 1989,1989,USA,Drama-Comedy,[Do the Right Thing](https://www.imdb.com/title/tt0097216/),🌟8
"Leopard, The",🎉075,🎉070,Luchino Visconti,[豹 Il gattopardo](https://movie.douban.com/subject/1293146/),🌟8.7,卢基诺·维斯康蒂 / 伯特·兰卡斯特 / 克劳迪娅·卡汀娜 / 阿兰·德龙 / 剧情 / 历史 / 爱情 / 战争 / 意大利/法国 / 1963,1963,Italy-France,History-Drama,[The Leopard](https://www.imdb.com/title/tt0057091/),🌟8
Amarcord,🎉076,🎉065,Federico Fellini,[阿玛柯德 Amarcord](https://movie.douban.com/subject/1298672/),🌟8.7,费德里科·费里尼 / 普佩拉·玛奇奥 / 阿尔曼多·布兰恰 / 玛加莉·诺埃尔 / 剧情 / 喜剧 / 意大利/法国 / 1973,1973,Italy,Drama-Comedy,[Amarcord](https://www.imdb.com/title/tt0071129/),🌟7.9
"Woman Under the Influence, A",🎉077,🎉094,John Cassavetes,[醉酒的女人 A Woman Under the Influence](https://movie.douban.com/subject/1293525/),🌟8.2,约翰·卡萨维蒂 / 彼得·法尔克 / 吉娜·罗兰兹 / 弗雷德·德雷珀 / 剧情 / 爱情 / 美国 / 1974,1974,USA,Drama,[A Woman Under the Influence](https://www.imdb.com/title/tt0072417/),🌟8.1
"Man Escaped, A",🎉078,🎉092,Robert Bresson,[死囚越狱 Un Condamné à mort s'est échappé](https://movie.douban.com/subject/1303562/),🌟8.5,罗伯特·布列松 / 弗朗索瓦·莱特瑞尔 / 查尔斯·勒克莱恩 / 莫里斯·贝尔布洛克 / 剧情 / 战争 / 惊悚 / 法国 / 1956,1956,France,Prison-Drama,[A Man Escaped](https://www.imdb.com/title/tt0049902/),🌟8.2
"Seventh Seal, The",🎉079,🎉075,Ingmar Bergman,[第七封印 Det sjunde inseglet](https://movie.douban.com/subject/1293234/),🌟8.5,英格玛·伯格曼 / 古纳尔·布约恩施特兰德 / 本特·埃切罗特 / 尼尔斯·波普 / 剧情 / 奇幻 / 瑞典 / 1957,1957,Sweden,Fantasy-Drama,[The Seventh Seal](https://www.imdb.com/title/tt0050976/),🌟8.1
Pulp Fiction,🎉080,🎉064,Quentin Tarantino,[低俗小说 Pulp Fiction](https://movie.douban.com/subject/1291832/),🌟8.9,昆汀·塔伦蒂诺 / 约翰·特拉沃尔塔 / 乌玛·瑟曼 / 阿曼达·普拉莫 / 剧情 / 喜剧 / 犯罪 / 美国 / 1994,1994,USA,Drama-Crime-Comedy,[Pulp Fiction](https://www.imdb.com/title/tt0110912/),🌟8.9
"Wild Bunch, The",🎉081,🎉069,Sam Peckinpah,[日落黄沙 The Wild Bunch](https://movie.douban.com/subject/1296963/),🌟8.3,萨姆·佩金帕 / 威廉·霍尔登 / 欧内斯特·博格宁 / 罗伯特·瑞安 / 动作 / 西部 / 美国 / 1969,1969,USA,Western-Action,[The Wild Bunch](https://www.imdb.com/title/tt0065214/),🌟7.9
It's a Wonderful Life,🎉082,🎉078,Frank Capra,[生活多美好 It's a Wonderful Life](https://movie.douban.com/subject/1293749/),🌟9.3,弗兰克·卡普拉 / 詹姆斯·斯图尔特 / 唐娜·里德 / 莱昂纳尔·巴里摩尔 / 剧情 / 爱情 / 奇幻 / 美国 / 1946,1946,USA,Fantasy-Drama-Family,[It's a Wonderful Life](https://www.imdb.com/title/tt0038650/),🌟8.6
Sansho the Bailiff,🎉083,🎉091,Kenji Mizoguchi,[山椒大夫](https://movie.douban.com/subject/1303573/),🌟8.1,沟口健二 / 田中绢代 / 香川京子 / 菅井一郎 / 剧情 / 日本 / 1954,1954,Japan,Drama,[Sansho the Bailiff](https://www.imdb.com/title/tt0047445/),🌟8.4
"Conformist, The",🎉084,🎉087,Bernardo Bertolucci,[同流者 Il conformista](https://movie.douban.com/subject/1300955/),🌟8.6,贝纳尔多·贝托鲁奇 / 让-路易·特兰蒂尼昂 / 斯特法尼娅·桑德雷莉 / 加斯通·莫辛 / 剧情 / 意大利/法国/西德 / 1970,1970,Italy-France-West Germany,Political-Drama,[The Conformist](https://www.imdb.com/title/tt0065571/),🌟7.9
"Magnificent Ambersons, The",🎉085,🎉080,Orson Welles,[伟大的安巴逊 The Magnificent Ambersons](https://movie.douban.com/subject/1299214/),🌟7.5,奥逊·威尔斯 / 约瑟夫·科顿 / 提姆·霍尔特 / 多洛雷斯·卡斯特洛 / 剧情 / 爱情 / 美国 / 1942,1942,USA,Drama,[The Magnificent Ambersons](https://www.imdb.com/title/tt0035015/),🌟7.6
Viridiana,🎉086,🎉066,Luis Buñuel,[维莉蒂安娜 Viridiana](https://movie.douban.com/subject/1303557/),🌟8.6,路易斯·布努埃尔 / 西尔维娅·皮纳尔 / 弗朗西斯科·拉瓦尔 / 费尔南多·雷伊 / 剧情 / 西班牙/墨西哥 / 1961,1961,Spain,Drama,[Viridiana](https://www.imdb.com/title/tt0055601/),🌟8.1
Blue Velvet,🎉087,🎉090,David Lynch,[](),🌟,,1986,USA,Mystery-Crime-Drama,[Blue Velvet](https://www.imdb.com/title/tt0090756/),🌟7.7
Pickpocket,🎉088,🎉082,Robert Bresson,[扒手 Pickpocket](https://movie.douban.com/subject/1303559/),🌟8.3,罗伯特·布列松 / 马丁·拉萨尔 / 玛莉卡·格林 / Jean Pélégri / 剧情 / 犯罪 / 法国 / 1959,1959,France,Drama-Crime,[Pickpocket](https://www.imdb.com/title/tt0053168/),🌟7.6
Nashville,🎉089,🎉089,Robert Altman,[纳什维尔 Nashville](https://movie.douban.com/subject/1293037/),🌟8.2,罗伯特·奥特曼 / 大卫·阿金 / 芭芭拉·巴斯里 / 尼德·巴蒂 / 剧情 / 喜剧 / 音乐 / 美国 / 1975,1975,USA,Drama-Music,[Nashville](https://www.imdb.com/title/tt0073440/),🌟7.6
"Shining, The",🎉090,🎉079,Stanley Kubrick,[闪灵 The Shining](https://movie.douban.com/subject/1292225/),🌟8.3,斯坦利·库布里克 / 杰克·尼科尔森 / 谢莉·杜瓦尔 / 丹尼·劳埃德 / 恐怖 / 英国/美国 / 1980,1980,USA-UK,Horror-Drama,[The Shining](https://www.imdb.com/title/tt0081505/),🌟8.4
Gertrud,🎉091,🎉088,Carl Theodor Dreyer,[葛楚 Gertrud](https://movie.douban.com/subject/1420116/),🌟8.0,卡尔·西奥多·德莱叶 / 尼娜·彭斯·罗德 / 本特·罗斯 / 埃贝·罗德 / 剧情 / 丹麦 / 1964,1964,Denmark,Drama,[Gertrud](https://www.imdb.com/title/tt0058138/),🌟7.3
"Gold Rush, The",🎉092,🎉073,Charles Chaplin,[淘金记 The Gold Rush](https://movie.douban.com/subject/1298817/),🌟9.2,查理·卓别林 / 查理·卓别林 / 马克·斯旺 / 汤姆·默里 / 喜剧 / 爱情 / 西部 / 冒险 / 美国 / 1925,1925,USA,Comedy-Adventure-Family,[The Gold Rush](https://www.imdb.com/title/tt0015864/),🌟8.1
"Man Who Shot Liberty Valance, The",🎉093,🎉095,John Ford,[双虎屠龙 The Man Who Shot Liberty Valance](https://movie.douban.com/subject/1295134/),🌟8.2,约翰·福特 / 约翰·韦恩 / 詹姆斯·斯图尔特 / 维拉·迈尔斯 / 剧情 / 爱情 / 西部 / 美国 / 1962,1962,USA,Western,[The Man Who Shot Liberty Valance](https://www.imdb.com/title/tt0056217/),🌟8.1
Jaws,🎉094,🎉093,Steven Spielberg,[大白鲨 Jaws](https://movie.douban.com/subject/1294941/),🌟7.8,史蒂文·斯皮尔伯格 / 罗伊·谢德 / 罗伯特·肖 / 理查德·德莱福斯 / 剧情 / 惊悚 / 冒险 / 美国 / 1975,1975,USA,Horror-Thriller-Adventure,[Jaws](https://www.imdb.com/title/tt0073195/),🌟8.1
"Jetée, La",🎉095,🎉116,Chris Marker,[堤 La jetée](https://movie.douban.com/subject/1306626/),🌟9.0,克里斯·马克 / 让·内格罗尼 / 埃莱娜·夏特兰 / 达沃斯·哈尼奇 / 短片 / 剧情 / 爱情 / 科幻 / 法国 / 1962,1962,France,Science Fiction-Drama-Short,[La Jetée](https://www.imdb.com/title/tt0056119/),🌟8.2
Jules et Jim,🎉096,🎉084,François Truffaut,[祖与占 Jules et Jim](https://movie.douban.com/subject/1292338/),🌟8.4,弗朗索瓦·特吕弗 / 让娜·莫罗 / 奥斯卡·威内尔 / 亨利·赛尔 / 剧情 / 爱情 / 法国 / 1962,1962,France,Romance-Drama,[Jules and Jim](https://www.imdb.com/title/tt0055032/),🌟7.7
Cléo from 5 to 7,🎉097,🎉243,Agnès Varda,[五至七时的克莱奥 Cléo de 5 à 7](https://movie.douban.com/subject/1294565/),🌟8.7,阿涅斯·瓦尔达 / 科琳娜·马尔尚 / 安托万·布尔塞耶 / 多米妮克·达夫雷 / 喜剧 / 剧情 / 音乐 / 法国/意大利 / 1962,1962,France,Drama,[Cléo from 5 to 7](https://www.imdb.com/title/tt0055852/),🌟7.9
Sans soleil,🎉098,🎉102,Chris Marker,[日月无光 Sans soleil](https://movie.douban.com/subject/1401901/),🌟8.5,克里斯·马克 / 弗洛朗丝·德莱 / 阿丽尔·朵巴丝勒 / Riyoko Ikeda / 纪录片 / 法国 / 1983,1983,France,Avant-Garde-Documentary,[Sans Soleil](https://www.imdb.com/title/tt0084628/),🌟7.8
Meshes of the Afternoon,🎉099,🎉277,Maya & Alexander Hammid Deren,[午后的迷惘 Meshes of the Afternoon](https://movie.douban.com/subject/1437390/),🌟8.8,梅雅·黛伦 / 亚历山大·罕密德 / 梅雅·黛伦 / 亚历山大·罕密德 / 短片 / 美国 / 1943,1943,USA,Short-Avant-Garde-Fantasy,[Meshes of the Afternoon](https://www.imdb.com/title/tt0036154/),🌟7.9
To Be or Not to Be,🎉100,🎉100,Ernst Lubitsch,[你逃我也逃 To Be or Not to Be](https://movie.douban.com/subject/1303418/),🌟9.3,恩斯特·刘别谦 / 卡洛·朗白 / 杰克·本尼 / 罗伯特·斯塔克 / 喜剧 / 爱情 / 战争 / 美国 / 1942,1942,USA,War-Comedy,[To Be or Not to Be](https://www.imdb.com/title/tt0035446/),🌟8.2
Madame de...,🎉101,🎉113,Max Ophüls,[伯爵夫人的耳环 Madame de...](https://movie.douban.com/subject/1301122/),🌟8.1,马克斯·奥菲尔斯 / 达尼埃尔·达里约 / 维托里奥·德西卡 / 查尔斯·博耶 / 剧情 / 爱情 / 法国/意大利 / 1953,1953,France-Italy,Romance-Drama,[The Earrings of Madame De...](https://www.imdb.com/title/tt0046022/),🌟7.9
Sátántangó,🎉102,🎉111,Béla Tarr,[撒旦探戈 Sátántangó](https://movie.douban.com/subject/1422088/),🌟8.9,贝拉·塔尔 / 米哈伊·维格 / 普吉·霍瓦特 / 拉斯洛·费卢戈希 / 剧情 / 悬疑 / 匈牙利/德国/瑞士 / 1994,1994,Hungary-Germany-Switzerland,Drama,[Satantango](https://www.imdb.com/title/tt0111341/),🌟8.2
Sherlock Jr.,🎉103,🎉124,Buster Keaton,[福尔摩斯二世 Sherlock Jr.](https://movie.douban.com/subject/1303408/),🌟9.5,巴斯特·基顿 / 巴斯特·基顿 / 凯瑟琳·麦奎尔 / 乔·基顿 / 喜剧 / 动作 / 爱情 / 美国 / 1924,1924,USA,Fantasy-Comedy,[Sherlock Jr.](https://www.imdb.com/title/tt0015324/),🌟8.2
"Clockwork Orange, A",🎉104,🎉077,Stanley Kubrick,[发条橙 A Clockwork Orange](https://movie.douban.com/subject/1292233/),🌟8.6,斯坦利·库布里克 / 马尔科姆·麦克道威尔 / 帕特里克·马基 / 迈克尔·贝茨 / 犯罪 / 剧情 / 科幻 / 英国/美国 / 1971,1971,UK,Science Fiction-Crime-Drama,[A Clockwork Orange](https://www.imdb.com/title/tt0066921/),🌟8.3
Fear Eats the Soul,🎉105,🎉144,Rainer Werner Fassbinder,[恐惧吞噬灵魂 Angst essen Seele auf](https://movie.douban.com/subject/1294092/),🌟8.5,赖纳·维尔纳·法斯宾德 / 布里吉特·米拉 / 埃尔·赫迪·本·萨利姆 / 芭芭拉·瓦伦汀 / 剧情 / 爱情 / 西德 / 1974,1974,West Germany,Romance-Drama,[Ali: Fear Eats the Soul](https://www.imdb.com/title/tt0071141/),🌟8
Last Year at Marienbad,🎉106,🎉099,Alain Resnais,[去年在马里昂巴德 L'année dernière à Marienbad](https://movie.douban.com/subject/1400240/),🌟8.3,阿伦·雷乃 / 德菲因·塞里格 / 乔治·阿尔贝塔齐 / 萨夏·皮托埃夫 / 剧情 / 爱情 / 悬疑 / 法国/意大利 / 1961,1961,France-Italy,Drama-Mystery-Avant-Garde,[Last Year at Marienbad](https://www.imdb.com/title/tt0054632/),🌟7.7
"Mother and the Whore, The",🎉107,🎉103,Jean Eustache,[母亲与娼妓 La Maman et la Putain](https://movie.douban.com/subject/1295252/),🌟7.9,让·厄斯塔什 / 让-皮埃尔·利奥德 / 贝纳德特·拉封 / 弗朗索瓦兹·勒布伦 / 剧情 / 法国 / 1973,1973,France,Drama,[The Mother and the Whore](https://www.imdb.com/title/tt0070359/),🌟7.8
"Aguirre, the Wrath of God",🎉108,🎉101,Werner Herzog,"[阿基尔，上帝的愤怒 Aguirre, der Zorn Gottes](https://movie.douban.com/subject/1306002/)",🌟8.3,沃纳·赫尔佐格 / 克劳斯·金斯基 / 彼得·贝尔林 / 海伦娜·罗霍 / 冒险 / 传记 / 剧情 / 历史 / 西德/墨西哥 / 1972,1972,West Germany,History-Drama-Adventure,"[Aguirre, the Wrath of God](https://www.imdb.com/title/tt0068182/)",🌟7.8
Ikiru,🎉109,🎉120,Akira Kurosawa,[生之欲 生きる](https://movie.douban.com/subject/1293847/),🌟9.3,黑泽明 / 志村乔 / 日守新一 / 田中春男 / 剧情 / 日本 / 1952,1952,Japan,Drama,[Ikiru](https://www.imdb.com/title/tt0044741/),🌟8.3
"Brighter Summer Day, A",🎉110,🎉121,Edward Yang,[牯岭街少年杀人事件 牯嶺街少年殺人事件](https://movie.douban.com/subject/1292329/),🌟8.9,杨德昌 / 张震 / 杨静怡 / 张国柱 / 剧情 / 犯罪 / 中国台湾 / 1991,1991,Taiwan-South Korea,Crime-Romance-Drama,[A Brighter Summer Day](https://www.imdb.com/title/tt0101985/),🌟8.2
Annie Hall,🎉111,🎉086,Woody Allen,[安妮·霍尔 Annie Hall](https://movie.douban.com/subject/1296987/),🌟8.6,伍迪·艾伦 / 伍迪·艾伦 / 黛安·基顿 / 托尼·罗伯茨 / 喜剧 / 剧情 / 爱情 / 美国 / 1977,1977,USA,Romance-Comedy,[Annie Hall](https://www.imdb.com/title/tt0075686/),🌟8
Greed,🎉112,🎉097,Erich von Stroheim,[贪婪 Greed](https://movie.douban.com/subject/1301923/),🌟8.0,埃里克·冯·施特罗海姆 / 扎苏·皮茨 / 吉布森·格沃兰德 / 让·赫肖尔特 / 剧情 / 美国 / 1924,1924,USA,Drama,[Greed](https://www.imdb.com/title/tt0015881/),🌟8
"Spirit of the Beehive, The",🎉113,🎉108,Victor Erice,[蜂巢幽灵 El espíritu de la colmena](https://movie.douban.com/subject/1401900/),🌟8.5,维克多·艾里斯 / 费尔南多·费尔南·戈麦斯 / 特雷莎·希梅拉 / 安娜·托伦特 / 剧情 / 西班牙 / 1973,1973,Spain,Drama,[The Spirit of the Beehive](https://www.imdb.com/title/tt0070040/),🌟7.8
Once Upon a Time in America,🎉114,🎉096,Sergio Leone,[美国往事 Once Upon a Time in America](https://movie.douban.com/subject/1292262/),🌟9.2,赛尔乔·莱昂内 / 罗伯特·德尼罗 / 詹姆斯·伍兹 / 伊丽莎白·麦戈文 / 犯罪 / 剧情 / 美国/意大利 / 1984,1984,Italy-USA,Drama-Crime,[Once Upon a Time in America](https://www.imdb.com/title/tt0087843/),🌟8.3
Come and See,🎉115,🎉143,Elem Klimov,[自己去看 Иди и смотри](https://movie.douban.com/subject/1422186/),🌟8.8,依莱姆·克里莫夫 / 阿列克谢·克拉夫琴科 / 奥尔加·米罗诺娃 / 柳博米拉斯·劳恰维丘斯 / 剧情 / 战争 / 苏联 / 1985,1985,USSR,War-Drama-History,[Come and See](https://www.imdb.com/title/tt0091251/),🌟8.4
"Piano, The",🎉116,🎉161,Jane Campion,[钢琴课 The Piano](https://movie.douban.com/subject/1293818/),🌟8.1,简·坎皮恩 / 霍利·亨特 / 哈威·凯特尔 / 山姆·尼尔 / 剧情 / 爱情 / 音乐 / 新西兰/澳大利亚/法国 / 1993,1993,New Zealand-Australia-France,Drama-Romance,[The Piano](https://www.imdb.com/title/tt0107822/),🌟7.5
Hiroshima mon amour,🎉117,🎉107,Alain Resnais,[广岛之恋 Hiroshima mon amour](https://movie.douban.com/subject/1302050/),🌟7.9,阿伦·雷乃 / 埃玛妞·丽娃 / 冈田英次 / 贝尔纳·弗雷松 / 剧情 / 爱情 / 战争 / 法国/日本 / 1959,1959,France-Japan,Drama,[Hiroshima Mon Amour](https://www.imdb.com/title/tt0052893/),🌟7.9
Yi Yi,🎉118,🎉119,Edward Yang,[一一](https://movie.douban.com/subject/1292434/),🌟9.1,杨德昌 / 吴念真 / 李凯莉 / 金燕玲 / 剧情 / 爱情 / 家庭 / 中国台湾/日本 / 2000,2000,Taiwan-Japan,Drama,[Yi Yi: A One and a Two...](https://www.imdb.com/title/tt0244316/),🌟8.1
"Wizard of Oz, The",🎉119,🎉104,Victor Fleming,[绿野仙踪 The Wizard of Oz](https://movie.douban.com/subject/1292625/),🌟8.2,维克多·弗莱明 / 朱迪·加兰 / 弗兰克·摩根 / 雷·博尔格 / 歌舞 / 奇幻 / 冒险 / 美国 / 1939,1939,USA,Musical-Fantasy-Family,[The Wizard of Oz](https://www.imdb.com/title/tt0032138/),🌟8.1
"Red Shoes, The",🎉120,🎉158,Michael & Emeric Pressburger Powell,[红菱艳 The Red Shoes](https://movie.douban.com/subject/1299204/),🌟8.2,迈克尔·鲍威尔 / 埃默里克·普雷斯伯格 / 莫伊拉·希勒 / 安东·沃尔布鲁克 Anton Walbrook / 马留斯·戈尔林 / 剧情 / 爱情 / 音乐 / 英国 / 1948,1948,UK,Dance-Musical-Drama,[The Red Shoes](https://www.imdb.com/title/tt0040725/),🌟8.1
Intolerance,🎉121,🎉109,D.W. Griffith,[党同伐异 Intolerance: Love's Struggle Throughout the Ages](https://movie.douban.com/subject/1295287/),🌟8.7,大卫·格里菲斯 / 丽莲·吉许 / 梅·马什 / 罗伯特·哈伦 / 剧情 / 历史 / 爱情 / 美国 / 1916,1916,USA,History-Drama,[Intolerance](https://www.imdb.com/title/tt0006864/),🌟7.7
Don't Look Now,🎉122,🎉130,Nicolas Roeg,[威尼斯疑魂 Don't Look Now](https://movie.douban.com/subject/1302294/),🌟7.2,尼古拉斯·罗伊格 / 朱莉·克里斯蒂 / 唐纳德·萨瑟兰 / 希拉丽·梅森 / 剧情 / 悬疑 / 恐怖 / 英国/意大利 / 1973,1973,UK,Mystery-Thriller,[Don't Look Now](https://www.imdb.com/title/tt0069995/),🌟7.1
Blow-Up,🎉123,🎉098,Michelangelo Antonioni,[放大 Blow-Up](https://movie.douban.com/subject/1310176/),🌟8.5,米开朗基罗·安东尼奥尼 / 瓦妮莎·雷德格雷夫 / 莎拉·米尔斯 / 戴维·海明斯 / 剧情 / 悬疑 / 惊悚 / 英国/意大利 / 1966,1966,Italy-UK,Mystery-Drama,[Blow-Up](https://www.imdb.com/title/tt0060176/),🌟7.5
Bringing Up Baby,🎉124,🎉126,Howard Hawks,[育婴奇谭 Bringing Up Baby](https://movie.douban.com/subject/1297657/),🌟7.3,霍华德·霍克斯 / 凯瑟琳·赫本 / 加里·格兰特 / 查尔斯·拉格尔斯 / 喜剧 / 爱情 / 美国 / 1938,1938,USA,Romance-Comedy,[Bringing Up Baby](https://www.imdb.com/title/tt0029947/),🌟7.8
"Eclisse, L'",🎉125,🎉115,Michelangelo Antonioni,[蚀 L'eclisse](https://movie.douban.com/subject/1293105/),🌟8.4,米开朗基罗·安东尼奥尼 / 阿兰·德龙 / 莫尼卡·维蒂 / 弗朗西斯科·拉瓦尔 / 剧情 / 爱情 / 意大利/法国 / 1962,1962,Italy-France,Drama-Romance,[L'Eclisse](https://www.imdb.com/title/tt0056736/),🌟7.7
"Matter of Life and Death, A",🎉126,🎉164,Michael & Emeric Pressburger Powell,[平步青云 A Matter of Life and Death](https://movie.douban.com/subject/1299411/),🌟7.7,迈克尔·鲍威尔 / 埃默里克·普雷斯伯格 / 大卫·尼文 / 金·亨特 / 罗伯托·库特 / 剧情 / 奇幻 / 爱情 / 战争 / 英国 / 1946,1946,UK,Romance-Fantasy-Comedy,[Stairway to Heaven](https://www.imdb.com/title/tt0038733/),🌟8
Letter from an Unknown Woman,🎉127,🎉122,Max Ophüls,[一封陌生女子的来信 Letter from an Unknown Woman](https://movie.douban.com/subject/1297228/),🌟8.0,马克斯·奥菲尔斯 / 琼·芳登 / 路易斯·乔丹 / 麦迪·克里斯蒂安斯 / 剧情 / 爱情 / 美国 / 1948,1948,USA,Romance-Drama,[Letter from an Unknown Woman](https://www.imdb.com/title/tt0040536/),🌟7.9
"Day in the Country, A",🎉128,🎉125,Jean Renoir,[乡间一日 Une Partie de Campagne](https://movie.douban.com/subject/1401585/),🌟8.0,让·雷诺阿 / 西尔维娅·巴塔耶 / 雅内·马尔肯 / 安德烈·加布里埃洛 / 剧情 / 短片 / 爱情 / 法国 / 1946,1936,France,Romance-Drama-Short,[A Day in the Country](https://www.imdb.com/title/tt0028445/),🌟7.5
Vivre sa vie,🎉129,🎉129,Jean-Luc Godard,[随心所欲 Vivre sa vie: Film en douze tableaux](https://movie.douban.com/subject/1296757/),🌟8.5,让-吕克·戈达尔 / 安娜·卡里娜 / 萨德·里波特 / 安德烈·S·拉巴尔特 / 剧情 / 法国 / 1962,1962,France,Drama,[Vivre Sa Vie](https://www.imdb.com/title/tt0056663/),🌟7.8
Notorious,🎉130,🎉137,Alfred Hitchcock,[美人计 Notorious](https://movie.douban.com/subject/1300766/),🌟7.7,阿尔弗雷德·希区柯克 / 加里·格兰特 / 英格丽·褒曼 / 克劳德·雷恩斯 / 剧情 / 爱情 / 惊悚 / 美国 / 1946,1946,USA,Romance-Thriller-Mystery,[Notorious](https://www.imdb.com/title/tt0038787/),🌟7.9
Imitation of Life,🎉131,🎉186,Douglas Sirk,[春风秋雨 Imitation of Life](https://movie.douban.com/subject/1294625/),🌟7.9,道格拉斯·塞克 / 拉娜·特纳 / 约翰·加文 / 桑德拉·狄 / 剧情 / 美国 / 1959,1959,USA,Drama-Romance,[Imitation of Life](https://www.imdb.com/title/tt0052918/),🌟7.8
Alien,🎉132,🎉106,Ridley Scott,[异形 Alien](https://movie.douban.com/subject/1300868/),🌟8.3,雷德利·斯科特 / 西格妮·韦弗 / 汤姆·斯凯里特 / 维罗尼卡·卡维特 / 科幻 / 惊悚 / 恐怖 / 英国/美国 / 1979,1979,USA,Science Fiction-Horror,[Alien](https://www.imdb.com/title/tt0078748/),🌟8.5
Histoire(s) du cinéma,🎉133,🎉165,Jean-Luc Godard,[电影史-1A 所有的历史 Histoire(s) du cinéma: Toutes les histoires](https://movie.douban.com/subject/1439723/),🌟8.3,让-吕克·戈达尔 / 让-吕克·戈达尔 / 纪录片 / 法国 / 1989,1988,France,Documentary,[Histoire(s) du cinéma](https://www.imdb.com/title/tt6677224/),🌟7.2
All About Eve,🎉134,🎉127,Joseph L. Mankiewicz,[彗星美人 All About Eve](https://movie.douban.com/subject/1401385/),🌟8.7,约瑟夫·L·曼凯维奇 / 贝蒂·戴维斯 / 安妮·巴克斯特 / 乔治·桑德斯 / 剧情 / 美国 / 1950,1950,USA,Drama,[All About Eve](https://www.imdb.com/title/tt0042192/),🌟8.2
My Darling Clementine,🎉135,🎉133,John Ford,[侠骨柔情 My Darling Clementine](https://movie.douban.com/subject/1299733/),🌟7.9,约翰·福特 / 亨利·方达 / 琳达·达内尔 / 维克多·迈彻 / 剧情 / 西部 / 美国 / 1946,1946,USA,Western,[My Darling Clementine](https://www.imdb.com/title/tt0038762/),🌟7.7
"Exterminating Angel, The",🎉136,🎉159,Luis Buñuel,[泯灭天使 El ángel exterminador](https://movie.douban.com/subject/1303556/),🌟8.3,路易斯·布努埃尔 / 西尔维娅·皮纳尔 / 恩里克·兰巴尔 / 克劳迪奥·布鲁克 / 喜剧 / 剧情 / 奇幻 / 悬疑 / 墨西哥 / 1962,1962,Mexico,Drama-Fantasy-Mystery,[The Exterminating Angel](https://www.imdb.com/title/tt0056732/),🌟8
"Gospel According to St. Matthew, The",🎉137,🎉145,Pier Paolo Pasolini,[马太福音 Il vangelo secondo Matteo](https://movie.douban.com/subject/1299775/),🌟8.4,皮埃尔·保罗·帕索里尼 / 恩里克·伊拉佐奎 / 玛格丽塔·卡鲁索 / Susanna Pasolini / 剧情 / 传记 / 历史 / 意大利/法国 / 1964,1964,Italy-France,Religious-Drama,[The Gospel According to St. Matthew](https://www.imdb.com/title/tt0058715/),🌟7.7
"Olvidados, Los",🎉138,🎉131,Luis Buñuel,[被遗忘的人们 Los Olvidados](https://movie.douban.com/subject/1303579/),🌟8.3,路易斯·布努埃尔 / Estela Inda / Alfonso Mejía / Roberto Cobo / 犯罪 / 剧情 / 墨西哥 / 1950,1950,Mexico,Drama-Crime,[The Young and the Damned](https://www.imdb.com/title/tt0042804/),🌟8.3
His Girl Friday,🎉139,🎉138,Howard Hawks,[女友礼拜五 His Girl Friday](https://movie.douban.com/subject/1299231/),🌟7.8,霍华德·霍克斯 / 加里·格兰特 / 罗莎琳德·拉塞尔 / 拉尔夫·贝拉米 / 喜剧 / 剧情 / 爱情 / 美国 / 1940,1940,USA,Romance-Comedy,[His Girl Friday](https://www.imdb.com/title/tt0032599/),🌟7.8
Spirited Away,🎉140,🎉153,Hayao Miyazaki,[千与千寻 千と千尋の神隠し](https://movie.douban.com/subject/1291561/),🌟9.4,宫崎骏 / 柊瑠美 / 入野自由 / 夏木真理 / 剧情 / 动画 / 奇幻 / 日本 / 2001,2001,Japan,Animated-Adventure-Fantasy,[Spirited Away](https://www.imdb.com/title/tt0245429/),🌟8.6
Daisies,🎉141,🎉286,Věra Chytilová,[雏菊 Sedmikrásky](https://movie.douban.com/subject/1296500/),🌟8.5,维拉·希蒂洛娃 / 雅罗斯拉夫·库切拉 / 伊万娜·卡尔班诺娃 / 埃斯特尔·克伦巴赫乔娃 / 喜剧 / 剧情 / 捷克斯洛伐克 / 1966,1966,Czechoslovakia,Drama-Comedy-Avant Garde,[Daisies](https://www.imdb.com/title/tt0060959/),🌟7.3
