Index,Title 电影,Rank 排名,Rank-2022,Director 导演,豆瓣电影,豆瓣打分,豆瓣信息,Year 年份,Region 地区,Genre 类型,IMDb Movie,IMDb Score
495,Blue,🎉496,🎉770,Derek Jarman,[蓝 Blue](https://movie.douban.com/subject/1417428/),🌟8.6,德里克·贾曼 / 约翰·昆汀 / 尼吉尔·特瑞 / 德里克·贾曼 / 剧情 / 传记 / 同性 / 英国/日本 / 1993,1993,UK,Documentary-Drama,[Blue](https://www.imdb.com/title/tt0106438/),🌟7.3
496,Russian Ark,🎉497,🎉404,Aleksandr Sokurov,[俄罗斯方舟 Русский ковчег](https://movie.douban.com/subject/1302279/),🌟7.5,亚历山大·索科洛夫 / 谢尔盖·德雷登 / Mariya Kuznetsova / Valery Gergiev / 剧情 / 奇幻 / 历史 / 俄罗斯/德国/日本/加拿大/芬兰/丹麦 / 2002,2002,Russia-Germany-Japan-Canada-Finland-Denmark,Drama-Fantasy-History,[Russian Ark](https://www.imdb.com/title/tt0318034/),🌟7.2
497,"Damned, The",🎉498,🎉527,Luchino Visconti,[纳粹狂魔 La caduta degli dei (Götterdämmerung)](https://movie.douban.com/subject/1296591/),🌟7.7,卢基诺·维斯康蒂 / 德克·博加德 / 英格丽·图林 / 赫尔穆特·格里姆 / 剧情 / 战争 / 意大利/西德 / 1969,1969,Italy-West Germany,War-Drama,[The Damned](https://www.imdb.com/title/tt0064118/),🌟7.4
498,"Enigma of Kaspar Hauser, The",🎉499,🎉555,Werner Herzog,[卡斯帕尔·豪泽尔之谜 Jeder für sich und Gott gegen alle](https://movie.douban.com/subject/1296583/),🌟8.6,沃纳·赫尔佐格 / 布鲁诺·斯列斯坦 / 瓦尔特·拉登加斯特 / 布里吉特·米拉 / 剧情 / 传记 / 西德 / 1974,1974,West Germany,Biography-Drama,[The Enigma of Kaspar Hauser](https://www.imdb.com/title/tt0071691/),🌟7.7
499,Marketa Lazarová,🎉500,🎉580,Frantisek Vlácil,[乱世英豪 Marketa Lazarová](https://movie.douban.com/subject/1306847/),🌟8.0,法兰提塞·维拉席 / 玛格达·瓦沙里奥娃 / 约瑟夫·克姆尔 / Nada Hejna / 剧情 / 历史 / 爱情 / 捷克斯洛伐克 / 1967,1967,Czechoslovakia,History-Drama,[Marketa Lazarová](https://www.imdb.com/title/tt0063278/),🌟7.9
500,Inland Empire,🎉501,🎉548,David Lynch,[内陆帝国 Inland Empire](https://movie.douban.com/subject/1438734/),🌟7.7,大卫·林奇 / 劳拉·邓恩 / 杰瑞米·艾恩斯 / 贾斯汀·塞洛克斯 / 剧情 / 悬疑 / 惊悚 / 法国/波兰/美国 / 2006,2006,USA-France-Poland,Drama-Mystery-Thriller,[Inland Empire](https://www.imdb.com/title/tt0460829/),🌟6.8
501,Early Summer,🎉502,🎉571,Yasujiro Ozu,[麦秋 麥秋](https://movie.douban.com/subject/1401842/),🌟8.7,小津安二郎 / 原节子 / 笠智众 / 淡岛千景 / 剧情 / 家庭 / 日本 / 1951,1951,Japan,Drama,[Early Summer](https://www.imdb.com/title/tt0043313/),🌟8.1
502,After Life,🎉503,🎉629,Hirokazu Koreeda,[下一站，天国 ワンダフルライフ](https://movie.douban.com/subject/1294413/),🌟8.1,是枝裕和 / 井浦新 / 小田绘梨花 / 寺岛进 / 剧情 / 日本 / 1998,1998,Japan,Drama-Fantasy,[After Life](https://www.imdb.com/title/tt0165078/),🌟7.6
503,Short Cuts,🎉504,🎉532,Robert Altman,[银色·性·男女 Short Cuts](https://movie.douban.com/subject/1297833/),🌟8.0,罗伯特·奥特曼 / 安迪·麦克道威尔 / 布鲁斯·戴维森 / 朱丽安·摩尔 / 喜剧 / 剧情 / 美国 / 1993,1993,USA,Drama,[Short Cuts](https://www.imdb.com/title/tt0108122/),🌟7.7
504,Monty Python's Life of Brian,🎉505,🎉432,Terry Jones,[万世魔星 Life of Brian](https://movie.douban.com/subject/1292881/),🌟8.0,特瑞·琼斯 / 格雷厄姆·查普曼 / 约翰·克里斯 / 特瑞·吉列姆 / 喜剧 / 英国 / 1979,1979,UK,Religious-Comedy,[Life of Brian](https://www.imdb.com/title/tt0079470/),🌟8
505,"Hustler, The",🎉506,🎉446,Robert Rossen,[江湖浪子 The Hustler](https://movie.douban.com/subject/1299517/),🌟7.7,罗伯特·罗森 / 保罗·纽曼 / 杰基·格利森 / 派珀·劳瑞 / 剧情 / 爱情 / 运动 / 美国 / 1961,1961,USA,Drama-Sport,[The Hustler](https://www.imdb.com/title/tt0054997/),🌟8
506,To Have and Have Not,🎉507,🎉530,Howard Hawks,[逃亡 To Have and Have Not](https://movie.douban.com/subject/1294698/),🌟7.7,霍华德·霍克斯 / 亨弗莱·鲍嘉 / 劳伦·白考尔 / 沃尔特·布伦南 / 喜剧 / 爱情 / 冒险 / 美国 / 1944,1944,USA,Romance-Drama-Adventure,[To Have and Have Not](https://www.imdb.com/title/tt0037382/),🌟7.8
507,Withnail & I,🎉508,🎉453,Bruce Robinson,[我与长指甲 Withnail & I](https://movie.douban.com/subject/1304857/),🌟7.8,布鲁斯·罗宾逊 / 理查德·E·格兰特 / 保罗·麦甘恩 / 理查德·格雷弗斯 / 喜剧 / 剧情 / 英国 / 1987,1987,UK,Comedy-Drama,[Withnail & I](https://www.imdb.com/title/tt0094336/),🌟7.5
508,Aparajito,🎉509,🎉632,Satyajit Ray,[大河之歌 অপরাজিত](https://movie.douban.com/subject/1306559/),🌟8.7,萨蒂亚吉特·雷伊 / 萨玛兰·加萨尔 / 卡利·班纳吉 / 卡奴·班纳杰 / 剧情 / 印度 / 1956,1956,India,Drama,[Aparajito](https://www.imdb.com/title/tt0048956/),🌟8.2
509,Boogie Nights,🎉510,🎉419,Paul Thomas Anderson,[不羁夜 Boogie Nights](https://movie.douban.com/subject/1292965/),🌟7.5,保罗·托马斯·安德森 / 马克·沃尔伯格 / 路易斯·古兹曼 / 伯特·雷诺兹 / 剧情 / 情色 / 美国 / 1997,1997,USA,Drama,[Boogie Nights](https://www.imdb.com/title/tt0118749/),🌟7.9
510,Toni Erdmann,🎉511,🎉347,Maren Ade,[托尼·厄德曼 Toni Erdmann](https://movie.douban.com/subject/24872189/),🌟7.6,玛伦·阿德 / 彼得·西蒙尼舍克 / 桑德拉·惠勒 / 米夏埃尔·维滕博恩 / 剧情 / 喜剧 / 德国/奥地利 / 2016,2016,Germany-Austria-Switzerland-Romania,Comedy-Drama,[Toni Erdmann](https://www.imdb.com/title/tt4048272/),🌟7.3
511,Closely Watched Trains,🎉512,🎉451,Jirí Menzel,[严密监视的列车 Ostře sledované vlaky](https://movie.douban.com/subject/1303081/),🌟8.2,伊日·门泽尔 / 瓦茨拉夫·内茨卡 / 约瑟夫·索姆尔 / 伏拉基米尔·布劳德斯基 / 剧情 / 喜剧 / 爱情 / 战争 / 捷克斯洛伐克 / 1966,1966,Czechoslovakia,Drama-Comedy,[Closely Watched Trains](https://www.imdb.com/title/tt0060802/),🌟7.6
512,Blow Out,🎉513,🎉730,Brian De Palma,[凶线 Blow Out](https://movie.douban.com/subject/1299027/),🌟7.7,布莱恩·德·帕尔玛 / 约翰·特拉沃尔塔 / 南茜·艾伦 / 约翰·利思戈 / 剧情 / 悬疑 / 惊悚 / 美国 / 1981,1981,USA,Thriller-Mystery,[Blow Out](https://www.imdb.com/title/tt0082085/),🌟7.4
513,Man of Aran,🎉514,🎉405,Robert Flaherty,[阿伦人 Man of Aran](https://movie.douban.com/subject/1303150/),🌟7.8,罗伯特·弗拉哈迪 / Colman 'Tiger' King / Michsel Dillane / Maggie Dirrane / 纪录片 / 英国 / 1934,1934,UK,Documentary,[Man of Aran](https://www.imdb.com/title/tt0025456/),🌟7.2
514,Twin Peaks: The Return [TV],🎉515,🎉2003,David Lynch,[双峰 第三季 Twin Peaks Season 3](https://movie.douban.com/subject/26088510/),🌟8.9,大卫·林奇 / 凯尔·麦克拉克伦 / 雪莉·李 / 金米·罗伯特森 / 剧情 / 犯罪 / 悬疑 / 美国 / 2017,2017,USA,Crime-Drama-Mystery,[Twin Peaks](https://www.imdb.com/title/tt4093826/),🌟8.5
515,East of Eden,🎉516,🎉551,Elia Kazan,[伊甸园之东 East of Eden](https://movie.douban.com/subject/1294169/),🌟8.2,伊利亚·卡赞 / 詹姆斯·迪恩 / 朱丽·哈里斯 / 雷蒙德·马西 / 剧情 / 美国 / 1955,1955,USA,Drama,[East of Eden](https://www.imdb.com/title/tt0048028/),🌟7.8
516,Alexander Nevsky,🎉517,🎉542,Sergei Eisenstein,[亚历山大·涅夫斯基 Александр Невский](https://movie.douban.com/subject/1299973/),🌟7.1,谢尔盖·爱森斯坦 / 迪米特里·瓦西里耶夫 / 尼古拉·切尔卡索夫 / 尼克拉·奥赫洛普科夫 / 安德烈·阿布里科索夫 / 动作 / 剧情 / 历史 / 战争 / 苏联 / 1938,1938,USSR,War-History-Biography,[Alexander Nevsky](https://www.imdb.com/title/tt0029850/),🌟7.5
517,Faust,🎉518,🎉528,F.W. Murnau,[浮士德 Faust: Eine deutsche Volkssage](https://movie.douban.com/subject/1305235/),🌟8.5,F·W·茂瑙 / 格斯塔·埃克曼 / 埃米尔·雅宁斯 / 卡米拉·霍恩 / 奇幻 / 恐怖 / 德国 / 1926,1926,Germany,Fantasy-Drama-Horror,[Faust](https://www.imdb.com/title/tt0016847/),🌟8.1
518,Alice in the Cities,🎉519,🎉547,Wim Wenders,[爱丽丝城市漫游记 Alice in den Städten](https://movie.douban.com/subject/1293306/),🌟8.7,维姆·文德斯 / 吕迪格·福格勒 / 耶拉·罗特兰德尔 / 丽萨·克鲁泽 / 剧情 / 西德 / 1974,1974,West Germany,Drama,[Alice in the Cities](https://www.imdb.com/title/tt0069687/),🌟7.9
519,Crash,🎉520,🎉692,David Cronenberg,[欲望号快车 Crash](https://movie.douban.com/subject/1292682/),🌟7.0,大卫·柯南伯格 / 詹姆斯·斯派德 / 霍利·亨特 / 伊莱亚斯·科泰斯 / 剧情 / 加拿大/美国/英国 / 1996,1996,Canada,Drama,[Crash](https://www.imdb.com/title/tt0115964/),🌟6.4
520,And Life Goes On...,🎉521,🎉595,Abbas Kiarostami,[生生长流 زندگی و دیگر هیچ](https://movie.douban.com/subject/1303471/),🌟8.8,阿巴斯·基亚罗斯塔米 / 法德哈·基德曼 / 布巴·巴尤尔· / 奥西纳·法赫 / 剧情 / 灾难 / 伊朗 / 1992,1992,Iran,Drama-Documentary,[And Life Goes On](https://www.imdb.com/title/tt0105888/),🌟7.9
521,"Lives of Others, The",🎉522,🎉505,Florian Henckel von Donnersmarck,[窃听风暴 Das Leben der Anderen](https://movie.douban.com/subject/1900841/),🌟9.2,弗洛里安·亨克尔·冯·多纳斯马尔克 / 乌尔里希·穆埃 / 马蒂娜·格德克 / 塞巴斯蒂安·科赫 / 剧情 / 悬疑 / 德国 / 2006,2006,Germany,Drama,[The Lives of Others](https://www.imdb.com/title/tt0405094/),🌟8.4
522,Dead Ringers,🎉523,🎉452,David Cronenberg,[孽扣 Dead Ringers](https://movie.douban.com/subject/1293297/),🌟7.8,大卫·柯南伯格 / 杰瑞米·艾恩斯 / 詹妮薇芙·布卓 / Heidi von Palleske / 剧情 / 爱情 / 惊悚 / 加拿大 / 1988,1988,Canada,Thriller-Horror-Drama,[Dead Ringers](https://www.imdb.com/title/tt0094964/),🌟7.2
523,Reservoir Dogs,🎉524,🎉336,Quentin Tarantino,[落水狗 Reservoir Dogs](https://movie.douban.com/subject/1299603/),🌟8.4,昆汀·塔伦蒂诺 / 哈威·凯特尔 / 蒂姆·罗斯 / 迈克尔·马德森 / 惊悚 / 犯罪 / 美国 / 1992,1992,USA,Drama-Crime-Thriller,[Reservoir Dogs](https://www.imdb.com/title/tt0105236/),🌟8.3
524,"Vampires, Les",🎉525,🎉524,Louis Feuillade,[吸血鬼 Les Vampires](https://movie.douban.com/subject/1303869/),🌟7.9,路易斯·菲拉德 / 珍妮·罗克斯 / Édouard Mathé / 马塞尔·莱韦克 / 动作 / 冒险 / 犯罪 / 剧情 / 悬疑 / 惊悚 / 法国 / 1915,1915,France,Action-Adventure-Crime,[Les vampires](https://www.imdb.com/title/tt0006206/),🌟7.3
525,Point Blank,🎉526,🎉537,John Boorman,[步步惊魂 Point Blank](https://movie.douban.com/subject/1305883/),🌟7.4,约翰·布尔曼 / 李·马文 / 安吉·迪金森 / 凯勒·欧康纳 / 犯罪 / 剧情 / 惊悚 / 美国 / 1967,1967,USA,Crime-Drama-Thriller,[Point Blank](https://www.imdb.com/title/tt0062138/),🌟7.3
526,Rosetta,🎉527,🎉563,Jean-Pierre & Luc Dardenne Dardenne,[罗塞塔 Rosetta](https://movie.douban.com/subject/1300820/),🌟8.2,让-皮埃尔·达内 / 吕克·达内 / 艾米莉·德奎恩 / 法布里齐奥·隆吉奥内 / 安妮·耶和诺 / 剧情 / 法国/比利时 / 1999,1999,Belgium-France,Drama,[Rosetta](https://www.imdb.com/title/tt0200071/),🌟7.4
527,"Harlan County, U.S.A.",🎉528,🎉615,Barbara Kopple,"[美国哈兰县 Harlan County, U.S.A.](https://movie.douban.com/subject/1294724/)",🌟8.7,芭芭拉·卡颇 / John Corcoran / 约翰·奥莱利 / Tom Williams / 纪录片 / 美国 / 1976,1976,USA,Documentary,[Harlan County U.S.A.](https://www.imdb.com/title/tt0074605/),🌟8.2
528,Strangers on a Train,🎉529,🎉465,Alfred Hitchcock,[火车怪客 Strangers on a Train](https://movie.douban.com/subject/1298505/),🌟8.1,阿尔弗雷德·希区柯克 / 法利·格兰杰 / 罗伯特·沃克 / 露丝·罗曼 / 犯罪 / 惊悚 / 黑色电影 / 美国 / 1951,1951,USA,Thriller-Drama-Crime,[Strangers on a Train](https://www.imdb.com/title/tt0044079/),🌟7.9
529,No Country for Old Men,🎉530,🎉403,Joel & Ethan Coen Coen,[老无所依 No Country for Old Men](https://movie.douban.com/subject/1857099/),🌟8.3,伊桑·科恩 / 乔尔·科恩 / 汤米·李·琼斯 / 哈维尔·巴登 / 乔什·布洛林 / 犯罪 / 剧情 / 惊悚 / 美国 / 2007,2007,USA,Crime-Drama-Thriller,[No Country for Old Men](https://www.imdb.com/title/tt0477348/),🌟8.2
530,Pan's Labyrinth,🎉531,🎉492,Guillermo del Toro,[潘神的迷宫 El laberinto del fauno](https://movie.douban.com/subject/1767042/),🌟7.9,吉尔莫·德尔·托罗 / 伊万娜·巴克罗 / 塞尔希·洛佩斯 / 玛丽维尔·贝尔杜 / 剧情 / 战争 / 奇幻 / 西班牙/墨西哥 / 2006,2006,Spain-Mexico-USA,Drama-Fantasy-Thriller,[Pan's Labyrinth](https://www.imdb.com/title/tt0457430/),🌟8.2
531,12 Angry Men,🎉532,🎉525,Sidney Lumet,[十二怒汉 12 Angry Men](https://movie.douban.com/subject/1293182/),🌟9.4,西德尼·吕美特 / 亨利·方达 / 马丁·鲍尔萨姆 / 约翰·菲德勒 / 剧情 / 美国 / 1957,1957,USA,Drama,[12 Angry Men](https://www.imdb.com/title/tt0050083/),🌟9
532,Fight Club,🎉533,🎉386,David Fincher,[搏击俱乐部 Fight Club](https://movie.douban.com/subject/1292000/),🌟9.0,大卫·芬奇 / 爱德华·诺顿 / 布拉德·皮特 / 海伦娜·伯翰·卡特 / 剧情 / 动作 / 悬疑 / 惊悚 / 美国 / 1999,1999,USA-Germany,Drama,[Fight Club](https://www.imdb.com/title/tt0137523/),🌟8.8
533,"Lady from Shanghai, The",🎉534,🎉503,Orson Welles,[上海小姐 The Lady from Shanghai](https://movie.douban.com/subject/1292584/),🌟8.0,奥逊·威尔斯 / 丽塔·海华斯 / 奥逊·威尔斯 / 埃弗雷特·斯隆 / 犯罪 / 剧情 / 黑色电影 / 悬疑 / 美国 / 1947,1948,USA,Mystery-Crime-Thriller,[The Lady from Shanghai](https://www.imdb.com/title/tt0040525/),🌟7.5
534,Picnic at Hanging Rock,🎉535,🎉635,Peter Weir,[悬崖上的野餐 Picnic at Hanging Rock](https://movie.douban.com/subject/1299539/),🌟7.5,彼得·威尔 / 瑞秋·罗伯茨 / 威文·格雷 / 海伦·摩斯 / 剧情 / 悬疑 / 惊悚 / 澳大利亚 / 1975,1975,Australia,Mystery-Drama,[Picnic at Hanging Rock](https://www.imdb.com/title/tt0073540/),🌟7.4
535,Twin Peaks: Fire Walk with Me,🎉536,🎉852,David Lynch,[双峰：与火同行 Twin Peaks: Fire Walk with Me](https://movie.douban.com/subject/1303472/),🌟7.9,大卫·林奇 / 雪莉·李 / 雷·怀斯 / 梅晨·阿米克 / 剧情 / 悬疑 / 惊悚 / 恐怖 / 法国/美国 / 1992,1992,USA-France,Drama-Horror-Mystery,[Twin Peaks: Fire Walk with Me](https://www.imdb.com/title/tt0105665/),🌟7.3
536,"Wind Will Carry Us, The",🎉537,🎉538,Abbas Kiarostami,[随风而逝 باد ما را خواهد برد](https://movie.douban.com/subject/1303444/),🌟8.1,阿巴斯·基亚罗斯塔米 / 纳格·阿萨迪 / 贝赫扎德·杜兰 / 罗沙·卡拉姆埃尔米 / 剧情 / 伊朗/法国 / 1999,1999,France-Iran,Drama,[The Wind Will Carry Us](https://www.imdb.com/title/tt0209463/),🌟7.4
537,Hannah and Her Sisters,🎉538,🎉517,Woody Allen,[汉娜姐妹 Hannah and Her Sisters](https://movie.douban.com/subject/1292764/),🌟8.0,伍迪·艾伦 / 伍迪·艾伦 / 米娅·法罗 / 凯丽·费雪 / 喜剧 / 剧情 / 爱情 / 美国 / 1986,1986,USA,Drama-Comedy-Romance,[Hannah and Her Sisters](https://www.imdb.com/title/tt0091167/),🌟7.8
538,Oldboy,🎉539,🎉447,Park Chan-wook,[老男孩 올드보이](https://movie.douban.com/subject/1308865/),🌟8.3,朴赞郁 / 崔岷植 / 刘智泰 / 姜惠贞 / 剧情 / 动作 / 悬疑 / 惊悚 / 韩国 / 2003,2003,South Korea,Action-Mystery-Thriller,[Oldboy](https://www.imdb.com/title/tt0364569/),🌟8.4
539,"Terminator, The",🎉540,🎉440,James Cameron,[终结者 The Terminator](https://movie.douban.com/subject/1300656/),🌟8.2,詹姆斯·卡梅隆 / 阿诺·施瓦辛格 / 迈克尔·比恩 / 琳达·汉密尔顿 / 动作 / 科幻 / 惊悚 / 美国/英国 / 1984,1984,USA,Science Fiction-Action,[The Terminator](https://www.imdb.com/title/tt0088247/),🌟8.1
540,Fellini Satyricon,🎉541,🎉574,Federico Fellini,[爱情神话 Fellini - Satyricon](https://movie.douban.com/subject/1293358/),🌟7.7,费德里科·费里尼 / 马丁·波特 / 海勒姆·凯勒 / 梅克斯·玻恩 / 剧情 / 历史 / 奇幻 / 意大利/法国 / 1969,1969,Italy,History-Drama,[Fellini Satyricon](https://www.imdb.com/title/tt0064940/),🌟6.8
541,Memories of Murder,🎉542,🎉659,Bong Joon-ho,[杀人回忆 살인의 추억](https://movie.douban.com/subject/1300299/),🌟8.9,奉俊昊 / 宋康昊 / 金相庆 / 金雷夏 / 剧情 / 动作 / 犯罪 / 悬疑 / 惊悚 / 韩国 / 2003,2003,South Korea,Crime-Drama-Mystery,[Memories of Murder](https://www.imdb.com/title/tt0353969/),🌟8.1
542,Yellow Earth,🎉543,🎉394,Chen Kaige,[黄土地](https://movie.douban.com/subject/1291876/),🌟8.0,陈凯歌 / 薛白 / 王学圻 / 谭托 / 剧情 / 音乐 / 中国大陆 / 1984,1984,China,Drama-Political,[Yellow Earth](https://www.imdb.com/title/tt0087433/),🌟7.1
543,Boyhood,🎉544,🎉433,Richard Linklater,[少年时代 Boyhood](https://movie.douban.com/subject/2209575/),🌟8.5,理查德·林克莱特 / 埃拉·科尔特兰 / 帕特丽夏·阿奎特 / 伊桑·霍克 / 剧情 / 家庭 / 美国 / 2014,2014,USA,Drama,[Boyhood](https://www.imdb.com/title/tt1065073/),🌟7.9
544,"Bridge on the River Kwai, The",🎉545,🎉435,David Lean,[桂河大桥 The Bridge on the River Kwai](https://movie.douban.com/subject/1294958/),🌟8.4,大卫·里恩 / 威廉·霍尔登 / 亚历克·吉尼斯 / 杰克·霍金斯 / 剧情 / 历史 / 战争 / 英国/美国 / 1957,1957,UK,War-Drama-Action,[The Bridge on the River Kwai](https://www.imdb.com/title/tt0050212/),🌟8.1
545,"Devil, Probably, The",🎉546,🎉549,Robert Bresson,[很可能是魔鬼 Le diable probablement](https://movie.douban.com/subject/1294782/),🌟7.9,罗伯特·布列松 / Antoine Monnier / Tina Irissari / 亨利·德莫布朗 / 剧情 / 法国 / 1977,1977,France,Drama,"[The Devil, Probably](https://www.imdb.com/title/tt0075938/)",🌟7.1
546,Die Hard,🎉547,🎉486,John McTiernan,[虎胆龙威 Die Hard](https://movie.douban.com/subject/1292697/),🌟8.2,约翰·麦克蒂尔南 / 布鲁斯·威利斯 / 邦妮·比蒂丽娅 / 雷金纳德·维尔约翰逊 / 动作 / 犯罪 / 惊悚 / 美国 / 1988,1988,USA,Thriller-Action,[Die Hard](https://www.imdb.com/title/tt0095016/),🌟8.2
547,Nostalgia for the Light,🎉548,🎉645,Patricio Guzmán,[故乡之光 Nostalgia de la luz](https://movie.douban.com/subject/4307515/),🌟8.4,帕特里西奥·古斯曼 / Gaspar Galaz / Lautaro Núñez / Luís Henríquez / 纪录片 / 剧情 / 法国/德国/智利/西班牙 / 2010,2010,France-Germany-Chile-Spain,Documentary,[Nostalgia for the Light](https://www.imdb.com/title/tt1556190/),🌟7.6
548,Yeelen,🎉549,🎉712,Souleymane Cissé,[光之翼 Yeelen](https://movie.douban.com/subject/1429098/),🌟7.7,苏莱曼·西塞 / Issiaka Kane / Aoua Sangare / Niamanto Sanogo / 剧情 / 马里/布基纳法索/法国/西德 / 1987,1987,Mali-Burkina Faso-France-West Germany-Japan,Drama-Fantasy,[Yeelen](https://www.imdb.com/title/tt0094349/),🌟6.9
549,Sambizanga,🎉550,🎉3236,Sarah Maldoror,[桑比赞加 Sambizanga](https://movie.douban.com/subject/4729942/),🌟,莎拉·马尔多罗 / Domingos de Oliveira / Elisa Andrade / Jean M'Vondo / 剧情 / 安哥拉/法国 / 1973,1972,Angola-France,Drama,[Sambizanga](https://www.imdb.com/title/tt0069214/),🌟7
550,"Age of Innocence, The",🎉551,🎉603,Martin Scorsese,[纯真年代 The Age of Innocence](https://movie.douban.com/subject/1301465/),🌟8.2,马丁·斯科塞斯 / 丹尼尔·戴-刘易斯 / 米歇尔·菲佛 / 薇诺娜·瑞德 / 剧情 / 爱情 / 美国 / 1993,1993,USA,Romance-Drama,[The Age of Innocence](https://www.imdb.com/title/tt0106226/),🌟7.2
551,"Je, tu, il, elle",🎉552,🎉1126,Chantal Akerman,"[我你他她 Je, tu, il, elle](https://movie.douban.com/subject/1429055/)",🌟7.8,香特尔·阿克曼 / 香特尔·阿克曼 / 尼尔斯·阿贺斯图普 / Claire Wauthion / 剧情 / 比利时/法国 / 1974,1974,Belgium,Drama,[Je Tu Il Elle](https://www.imdb.com/title/tt0071690/),🌟6.7
552,"Blue Angel, The",🎉553,🎉621,Josef von Sternberg,[蓝天使 Der blaue Engel](https://movie.douban.com/subject/1295427/),🌟7.7,约瑟夫·冯·斯登堡 / 埃米尔·雅宁斯 / 玛琳·黛德丽 / 库尔特·盖瑞 / 剧情 / 歌舞 / 德国 / 1930,1930,Germany,Drama,[The Blue Angel](https://www.imdb.com/title/tt0020697/),🌟7.7
553,Dead Man,🎉554,🎉423,Jim Jarmusch,[离魂异客 Dead Man](https://movie.douban.com/subject/1303462/),🌟8.0,吉姆·贾木许 / 约翰尼·德普 / 加利·法梅尔 / 克里斯平·格洛弗 / 剧情 / 西部 / 奇幻 / 冒险 / 美国/德国/日本 / 1995,1995,USA-Germany,Western-Drama,[Dead Man](https://www.imdb.com/title/tt0112817/),🌟7.5
554,Princess Mononoke,🎉555,🎉858,Hayao Miyazaki,[幽灵公主 もののけ姫](https://movie.douban.com/subject/1297359/),🌟8.9,宫崎骏 / 松田洋治 / 石田百合子 / 田中裕子 / 动画 / 奇幻 / 冒险 / 日本 / 1997,1997,Japan,Animated-Adventure-Fantasy,[Princess Mononoke](https://www.imdb.com/title/tt0119698/),🌟8.3
555,Morvern Callar,🎉556,🎉1120,Lynne Ramsay,[默文·卡拉 Morvern Callar](https://movie.douban.com/subject/1420042/),🌟7.6,琳恩·拉姆塞 / 萨曼莎·莫顿 / 凯瑟琳·麦克德莫特 / Linda McGuire / 剧情 / 英国/加拿大 / 2002,2002,UK-Canada,Drama,[Morvern Callar](https://www.imdb.com/title/tt0300214/),🌟6.7
556,"Haine, La",🎉557,🎉613,Mathieu Kassovitz,[怒火青春 La Haine](https://movie.douban.com/subject/1306449/),🌟8.3,马修·卡索维茨 / 文森特·卡塞尔 / 哈勃·孔黛 / 萨伊德·塔格马奥 / 犯罪 / 剧情 / 法国 / 1995,1995,France,Drama-Crime,[La haine](https://www.imdb.com/title/tt0113247/),🌟8.1
557,"Wedding March, The",🎉558,🎉662,Erich von Stroheim,[婚礼进行曲 The Wedding March](https://movie.douban.com/subject/1299353/),🌟7.2,埃里克·冯·施特罗海姆 / 埃里克·冯·施特罗海姆 / 菲伊·雷 / 扎苏·皮茨 / 剧情 / 美国 / 1928,1928,USA,Drama,[The Wedding March](https://www.imdb.com/title/tt0019558/),🌟7.4
558,Doctor Zhivago,🎉559,🎉557,David Lean,[日瓦戈医生 Doctor Zhivago](https://movie.douban.com/subject/1389949/),🌟8.5,大卫·里恩 / 奥马尔·沙里夫 / 朱莉·克里斯蒂 / 杰拉丁·卓别林 / 剧情 / 爱情 / 战争 / 美国/意大利/英国 / 1965,1965,USA,War-Romance-Drama,[Doctor Zhivago](https://www.imdb.com/title/tt0059113/),🌟7.9
559,Punch-Drunk Love,🎉560,🎉450,Paul Thomas Anderson,[私恋失调 Punch-Drunk Love](https://movie.douban.com/subject/1300211/),🌟7.9,保罗·托马斯·安德森 / 亚当·桑德勒 / 艾米丽·沃森 / 菲利普·塞默·霍夫曼 / 喜剧 / 剧情 / 爱情 / 美国 / 2002,2002,USA,Romance-Drama-Comedy,[Punch-Drunk Love](https://www.imdb.com/title/tt0272338/),🌟7.3
560,"Silence, The",🎉561,🎉658,Ingmar Bergman,[沉默 Tystnaden](https://movie.douban.com/subject/1300958/),🌟8.3,英格玛·伯格曼 / 英格丽·图林 / 古内尔·林德布洛姆 / 约根·林德斯特伦 / 剧情 / 瑞典 / 1963,1963,Sweden,Drama,[The Silence](https://www.imdb.com/title/tt0057611/),🌟7.8
561,Easy Rider,🎉562,🎉455,Dennis Hopper,[逍遥骑士 Easy Rider](https://movie.douban.com/subject/1297646/),🌟8.3,丹尼斯·霍珀 / 彼得·方达 / 丹尼斯·霍珀 / 杰克·尼科尔森 / 剧情 / 冒险 / 美国 / 1969,1969,USA,Drama,[Easy Rider](https://www.imdb.com/title/tt0064276/),🌟7.3
562,Young Mr. Lincoln,🎉563,🎉672,John Ford,[青年林肯 Young Mr. Lincoln](https://movie.douban.com/subject/1293499/),🌟7.5,约翰·福特 / 亨利·方达 / 艾丽丝·布雷迪 / 玛乔丽·韦弗 / 传记 / 剧情 / 美国 / 1939,1939,USA,Political-Biography-Drama,[Young Mr. Lincoln](https://www.imdb.com/title/tt0032155/),🌟7.5
563,Laura,🎉564,🎉510,Otto Preminger,[罗拉秘史 Laura](https://movie.douban.com/subject/1294072/),🌟7.7,奥托·普雷明格 / 吉恩·蒂尔尼 / 达纳·安德鲁斯 / 克利夫顿·韦伯 / 剧情 / 爱情 / 悬疑 / 黑色电影 / 美国 / 1944,1944,USA,Mystery-Romance-Thriller,[Laura](https://www.imdb.com/title/tt0037008/),🌟7.9
